country,city,neighbourhood_group_cleansed,neighbourhood_cleansed,id
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8517655
Germany,Friedrichshain,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,8520472
Germany,Berlin,Tempelhof - Schöneberg,Schöneberg-Nord,8520834
Germany,Berlin,Steglitz - Zehlendorf,Drakestr.,8521960
Germany,Berlin,Charlottenburg-Wilm.,Düsseldorfer Straße,8526256
Germany,Berlin,Mitte,Alexanderplatz,8529085
Germany,Berlin,Neukölln,Schillerpromenade,8533526
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8534059
Germany,Berlin,Mitte,Moabit West,8537193
Germany,Berlin,Tempelhof - Schöneberg,Friedenau,8537772
Germany,Berlin,Treptow - Köpenick,Köpenick-Süd,8542664
Germany,Berlin,Steglitz - Zehlendorf,Drakestr.,8543792
Germany,Berlin,Pankow,Prenzlauer Berg Südwest,8545234
Germany,Berlin,Mitte,Brunnenstr. Süd,8545396
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,8546082
Germany,Berlin,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,8547456
Germany,Berlin,Mitte,Parkviertel,8547488
Germany,Berlin,Charlottenburg-Wilm.,Schloß Charlottenburg,8548581
Germany,Berlin,Tempelhof - Schöneberg,Schöneberg-Süd,8553465
Germany,Berlin,Neukölln,Reuterstraße,8554459
Germany,Berlin,Pankow,Prenzlauer Berg Südwest,8554676
Germany,Berlin,Neukölln,Rixdorf,8559303
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8559609
Germany,Berlin,Pankow,Prenzlauer Berg Süd,8560751
Germany,Berlin,Neukölln,Rixdorf,8562026
Germany,Berlin,Mitte,Alexanderplatz,8564167
Germany,Berlin,Neukölln,Rixdorf,8564195
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,8565139
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8567132
